Tracing route to 137.184.171.44 over a maximum of 30 hops

  1     4 ms     1 ms    <1 ms  mynetwork.home [192.168.2.1]
  2     3 ms     2 ms     2 ms  142.124.37.116
  3     *        *        *     Request timed out.
  4     *        *        *     Request timed out.
  5     6 ms     3 ms     3 ms  64.230.59.184
  6     6 ms     4 ms     *     142.124.125.14
  7     5 ms     4 ms     2 ms  64.230.97.179
  8     *        *        *     Request timed out.
  9     5 ms     4 ms     5 ms  be8402.rcr71.b054249-0.yyz02.atlas.cogentco.com [154.54.92.218]
 10     5 ms     3 ms     3 ms  38.32.58.45
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     6 ms     5 ms     5 ms  137.184.171.44

Trace complete.
